STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210801,192
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19210901,187
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19211001,105
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19211101,29
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19211201,-25
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220101,-53
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220201,-28
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220301,19
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220401,79
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220501,155
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220601,193
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220701,212
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220801,206
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19220901,176
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19221001,113
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19221101,41
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19221201,-29
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230101,-60
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230201,-79
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230301,-15
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230401,68
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230501,132
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230601,196
